Marketings

attract;hấp dẫn, lôi cuốn, thu hút
compare;so sánh, đối chiếu
competition;cạnh tranh, tranh giành, thi đấu
consume;tiêu thụ, tiêu dùng
convince;Thuyết phục
currently;hiện thời, hiện nay, lúc này
fad;mốt nhất thời, sự thích thú tạm thời; dở hơi, gàn dở
inspiration;‹sự/người/vật› truyền cảm hứng, gây cảm hứng
market;thị trường, chợ, nơi mua bán sản phẩm...
persuasion;thuyết phục, làm cho tin (chú ý: persuade > convince)
productive;sản xuất, sinh sản; sinh lợi nhiều, có hiệu quả
satisfaction;sự làm thỏa mãn, sự hài lòng
